,,4095 (Cont.),,,FORM CMS 2552-10,,,,,08-11,,,,
,,Intensive Care Unit ,,03100,(20),,,Ambulance Services,09500,(01),,,,
,,Coronary Care Unit,,03200,(20),,,Durable Medical Equip. - Rented,09600,(20),,,,
,,Burn Intensive Care Unit,,03300,(20),,,Durable Medical Equip. - Sold ,09700,(20),,,,
,,Surgical Intensive Care Unit ,,03400,(20),,,I&R Services - Not Apprvd. Prgm.,10000,(01),,,,
,,Subprovider - IPF,,04000,(1),,,Home Health Agency,10100,(10),,,,
,,Subprovider - IRF,,04100,(1),,,,,,,,,
,,Subprovider (specify),,04200,(10),,,,,,,,,
,,Nursery ,,04300,(01),,,,,,,,,
,,Skilled Nursing Facility ,,04400,(01),,,     SPECIAL PURPOSE COST CENTERS,,,,,,
,,Nursing Facility ,,04500,(01),,,,,,,,,
,,Other Long Term Care ,,04600,(01),,,Kidney Acquisition,10500,(01),,,,
,,,,,,,,Heart Acquisition,10600,(01),,,,
,,     ANCILLARY SERVICE,,,,,,Liver Acquisition,10700,(01),,,,
,,         COST CENTERS,,,,,,Lung Acquisition,10800,(01),,,,
,,,,,,,,Pancreas Acquisition,10900,(01),,,,
,,Operating Room ,,05000,(30),,,Intestinal Acquisition,11000,(01),,,,
,,Recovery Room ,,05100,(30),,,Islet Acquisition,11100,(01),,,,
,,Delivery Room & Labor Room,,05200,(30),,,,,,,,,
,,Anesthesiology,,05300,(30),,,Ambulatory Surgical Center (D.P.),11500,(20),,,,
,,Radiology - Diagnostic ,,05400,(30),,,Hospice,11600,(05),,,,
,,Radiology - Therapeutic ,,05500,(30),,,,,,,,,
,,Radioisotope,,05600,(30),,,     NONREIMBURSABLE COST CENTERS,,,,,,
,,CT Scan,,05700,(30),,,,,,,,,
,,Magnetic Resonance Imaging (MRI),,05800,(30),,,"Gift, Flower, Coffee Shop, & Canteen",19000,(20),,,,
,,Cardiac Catheterization,,05900,(30),,,Research,19100,(20),,,,
,,Laboratory,,06000,(30),,,Physicians' Private Offices,19200,(20),,,,
,,PBP Clinical Lab. Service - Prgm. Only,,06100,(01),,,Nonpaid Workers,19300,(20),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,40-780,,,,,,,,Rev. 2,,,,
,,08-11,,,FORM CMS 2552-10,,,,,4095 (Cont.),,,,
,,,           ELECTRONIC REPORTING SPECIFICATIONS FOR FORM CMS 2552-10,,,,,,,,,,,
,,,           TABLE 5 - NONSTANDARD COST CENTER DESCRIPTIONS AND CODES,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,CODE,USE,,,,CODE,USE,,,,
,,,,,,,,,,,,,,
,,     GENERAL SERVICE COST CENTERS,,,,,,     ANCILLARY SERVICE COST CENTERS (Continued),,,,,,
,,,,,,,,,,,,,,
,,Nonpatient Telephones ,,00540,(10),,,Magnetic Resonance Imaging (MRI),03430,(10),,,,
,,Data Processing ,,00550,(10),,,Mammography,03440,(10),,,,
,,Purchasing Receiving and Stores,,00560,(10),,,Nuclear Medicine - Diagnostic ,03450,(10),,,,
,,Admitting,,00570,(10),,,Nuclear Medicine - Therapeutic ,03470,(10),,,,
,,Cashiering/Accounts Receivable,,00580,(10),,,Oncology  ,03480,(10),,,,
,,Other Administrative and General,,00590,(10),,,Ophthalmology ,03520,(10),,,,
,,Inservice Education,,01080,(20),,,Osteopathic Therapy ,03530,(10),,,,
,,Management Services,,01140,(20),,,Prosthetic Devices ,03540,(10),,,,
,,Communications ,,01160,(20),,,Psychiatric/Psychological Services ,03550,(10),,,,
,,Other General Service Cost Center ,,01850,(50),,,Pulmonary Function Testing ,03560,(10),,,,
,,,,,,,,Recreational Therapy,03580,(10),,,,
,,       INPATIENT ROUTINE SERVICE COST CENTERS,,,,,,Stress Test,03620,(10),,,,
,,,,,,,,Ultra Sound ,03630,(10),,,,
,,Detoxification Intensive Care Unit ,,02040,(20),,,Urology ,03640,(10),,,,
,,Neonatal Intensive Care Unit,,02060,(20),,,Vascular Lab,03650,(10),,,,
,,Pediatric Intensive Care Unit ,,02080,(20),,,Other Ancillary Service Cost Centers,03950,(47),,,,
,,Premature Intensive Care Unit ,,02120,(20),,,Blood Clotting Factors for Hemoph.,06250,(10),,,,
,,Psychiatric Intensive Care Unit ,,02140,(20),,,Cardiac Rehabilitation,07697,(1),,,,
,,Trauma Intensive Care Unit,,02180,(20),,,Hyperbaric Oxygen Therapy,07698,(1),,,,
,,ICF/MR,,04510,(01),,,Lithotripsy,07699,(1),,,,
,,,,,,,,,,,,,,
,,     ANCILLARY SERVICE COST CENTERS,,,,,,     OUTPATIENT SERVICE COST CENTERS,,,,,,
,,,,,,,,,,,,,,
,,Acupuncture ,,03020,(10),,,Family Practice  ,04040,(10),,,,
,,Angiocardiography ,,03030,(10),,,Telemedicine,04050,(10),,,,
,,Audiology ,,03040,(10),,,Other Outpatient Service Cost Centers,04950,(50),,,,
,,Bacteriology & Microbiology ,,03050,(10),,,Observation Beds (Distinct Part),06201,(10),,,,
0,,Biopsy,,03060,(10),,,,,,,,,
,,Birthing Center,,03070,(10),,,     OTHER REIMBURSABLE COST CENTERS,,,,,,
,,Cardiology ,,03140,(20),,,,,,,,,
,,Cardiopulmonary ,,03160,(20),,,Other Reimbursable Cost Centers ,05950,(50),,,,
,,Chemistry ,,03180,(10),,,Support Surfaces - Rented,06620,(05),,,,
,,Chemotherapy ,,03190,(10),,,Support Surfaces - Sold,06720,(05),,,,
,,Circumcision,,03220,(10),,,Outpatient Rehabilitation Providers:,,,,,,
,,Cytology ,,03240,(10),,,   CMHC,09900,(10),,,,
,,Dental Services,,03250,(10),,,   CORF,09910,(10),,,,
,,Echocardiography,,03260,(10),,,   OPT,09920,(10),,,,
,,EKG and EEG,,03280,(10),,,   OOT,09930,(10),,,,
,,Electromyography,,03290,(10),,,   OSP,09940,(10),,,,
,,Electroshock Therapy,,03320,(10),,,,,,,,,
,,Endoscopy,,03330,(10),,,     SPECIAL PURPOSE COST CENTERS,,,,,,
,,Gastro Intestinal Services,,03340,(10),,,,,,,,,
,,Hematology,,03350,(10),,,Other Special Purpose Cost Centers ,06950,(50),,,,
,,Histology ,,03360,(10),,,Other Organ Acquisition (specify),08600,(20),,,,
,,Holter Monitor ,,03370,(10),,,,,,,,,
,,Immunology,,03380,(10),,,     NONREIMBURSABLE COST CENTERS,,,,,,
,,Laboratory - Clinical,,03390,(10),,,,,,,,,
,,Laboratory - Pathological ,,03420,(10),,,Other Nonreimbursable Cost Centers ,07950,(50),,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Rev. 2,,,,,,,,40-781,,,,
