,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Rev. 2
,,,  FORM CMS-2552-10,,,,,, 4090 (Cont.)
,,,, PROVIDER CCN:,, PERIOD:,, WORKSHEET A,
,,,,,, FROM ____________,,,
,,,, ________________,, TO _______________,,,
,,,,,,RECLASSIFIED,,NET EXPENSES,
,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,
,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 ± col. 4),ADJUSTMENTS,(col. 5 ± col. 6),
,,1,2,3,4,5,6,7,
,   ANCILLARY SERVICE COST CENTERS, , , , , , , ,
5000, Operating Room,,,,,,,,50
5100, Recovery Room,,,,,,,,51
5200, Labor Room and Delivery Room,,,,,,,,52
5300, Anesthesiology,,,,,,,,53
5400, Radiology-Diagnostic,,,,,,,,54
5500, Radiology-Therapeutic,,,,,,,,55
5600, Radioisotope,,,,,,,,56
5700, Computed Tomography (CT) Scan,,,,,,,,57
5800, Magnetic Resonance Imaging (MRI),,,,,,,,58
5900, Cardiac Catheterization,,,,,,,,59
6000, Laboratory,,,,,,,,60
6100, PBP Clinical Laboratory Services-Program Only, , , , , , , ,61
6200, Whole Blood & Packed Red Blood Cells,,,,,,,,62
6300," Blood Storing, Processing, & Trans.",,,,,,,,63
6400, Intravenous Therapy,,,,,,,,64
6500, Respiratory Therapy,,,,,,,,65
6600, Physical Therapy,,,,,,,,66
6700, Occupational Therapy,,,,,,,,67
6800, Speech Pathology,,,,,,,,68
6900, Electrocardiology,,,,,,,,69
7000, Electroencephalography,,,,,,,,70
7100, Medical Supplies Charged to Patients,,,,,,,,71
7200, Implantable Devices Charged to Patients,,,,,,,,72
7300, Drugs Charged to Patients,,,,,,,,73
7400, Renal Dialysis,,,,,,,,74
7500, ASC (Non-Distinct Part),,,,,,,,75
, Other Ancillary (specify),,,,,,,,76
,   OUTPATIENT SERVICE COST CENTERS, , , , , , , ,
8800, Rural Health Clinic (RHC),,,,,,,,88
8900, Federally Qualified Health Center (FQHC),,,,,,,,89
9000, Clinic,,,,,,,,90
9100, Emergency,,,,,,,,91
9200, Observation Beds, , , , , , , ,92
, Other Outpatient Service (specify),,,,,,,,93
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,                 40-525
,,,  FORM CMS-2552-10,,,,,,08-11
,,,, PROVIDER CCN:,, PERIOD:,, WORKSHEET A,
,,,,,, FROM ____________,,,
,,,, ________________,, TO _______________,,,
,,,,,,RECLASSIFIED,,NET EXPENSES,
,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,
,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 ± col. 4),ADJUSTMENTS,(col. 5 ± col. 6),
,,1,2,3,4,5,6,7,
,   OTHER REIMBURSABLE COST CENTERS, , , , , , , ,
9400, Home Program Dialysis,,,,,,,,94
9500, Ambulance Services,,,,,,,,95
9600, Durable Medical Equipment-Rented,,,,,,,,96
9700, Durable Medical Equipment-Sold,,,,,,,,97
, Other Reimbursable (specify),,,,,,,,98
, Outpatient Rehabilitation Provider (specify),,,,,,,,99
10000, Intern-Resident Service (not appvd. tchng. prgm.),,,,,,,,100
10100, Home Health Agency,,,,,,,,101
,   SPECIAL PURPOSE COST CENTERS, , , , , , , ,
10500, Kidney Acquisition,,,,,,,,105
10600, Heart Acquisition,,,,,,,,106
10700, Liver Acquisition,,,,,,,,107
10800, Lung Acquisition,,,,,,,,108
10900, Pancreas Acquisition,,,,,,,,109
11000, Intestinal Acquisition,,,,,,,,110
11100, Islet Acquisition,,,,,,,,111
, Other Organ Acquisition (specify),,,,,,,,112
11300, Interest Expense, ,,,,,,- 0 -,113
11400, Utilization Review-SNF,,,,,,,- 0 -,114
11500, Ambulatory Surgical Center (Distinct Part),,,,,,,,115
11600, Hospice,,,,,,,,116
, Other Special Purpose (specify),,,,,,,,117
 , SUBTOTALS (sum of lines 1-117),,,,,,,,118
,   NONREIMBURSABLE COST CENTERS, , , , , , , ,
19000," Gift, Flower, Coffee Shop, & Canteen",,,,,,,,190
19100, Research,,,,,,,,191
19200, Physicians' Private Offices,,,,,,,,192
19300, Nonpaid Workers,,,,,,,,193
, Other Nonreimbursable (specify),,,,,,,,194
 , TOTAL (sum of lines 118-199), , , ,- 0 -, , , ,200
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Rev. 2
