4090 (Cont.),,,,,      FORM CMS-2552-10,,,,,,,08-11,08-11,,,,,      FORM CMS-2552-10,,,,,,,4090 (Cont.),4090 (Cont.),,,,,,      FORM CMS-2552-10,,,,,,,08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLOCATION OF GENERAL SERVICE,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET K-5,",,ALLOCATION OF GENERAL SERVICE,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET K-5,",,ALLOCATION OF GENERAL SERVICE,,,,,,, PROVIDER CCN: ______________,,, PERIOD:,," WORKSHEET K-5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTS TO HOSPICE COST CENTERS,,,,,,,,, FROM ____________,, PART I,,COSTS TO HOSPICE COST CENTERS,,,,,,,,, FROM ____________,, PART I (Cont.),,COSTS TO HOSPICE COST CENTERS,,,,,,,,,, FROM ____________,, PART I (Cont.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 ," Drugs, Biological and Infusion Therapy",,22 ,,,,,,,,,17 ,17 ," Drugs, Biological and Infusion Therapy",,,,,,,,,,,17 ,17 ," Drugs, Biological and Infusion Therapy",,,,,,,,,,,,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 , Analgesics,,23 ,,,,,,,,,18 ,18 , Analgesics,,,,,,,,,,,18 ,18 , Analgesics,,,,,,,,,,,,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 , Sedatives / Hypnotics,,24 ,,,,,,,,,19 ,19 , Sedatives / Hypnotics,,,,,,,,,,,19 ,19 , Sedatives / Hypnotics,,,,,,,,,,,,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 , Other - Specify,,25 ,,,,,,,,,20 ,20 , Other - Specify,,,,,,,,,,,20 ,20 , Other - Specify,,,,,,,,,,,,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 , Durable Medical Equipment/Oxygen,,26 ,,,,,,,,,21 ,21 , Durable Medical Equipment/Oxygen,,,,,,,,,,,21 ,21 , Durable Medical Equipment/Oxygen,,,,,,,,,,,,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 , Patient Transportation,,27 ,,,,,,,,,22 ,22 , Patient Transportation,,,,,,,,,,,22 ,22 , Patient Transportation,,,,,,,,,,,,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 , Imaging Services,,28 ,,,,,,,,,23 ,23 , Imaging Services,,,,,,,,,,,23 ,23 , Imaging Services,,,,,,,,,,,,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 , Labs and Diagnostics,,29 ,,,,,,,,,24 ,24 , Labs and Diagnostics,,,,,,,,,,,24 ,24 , Labs and Diagnostics,,,,,,,,,,,,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 , Medical Supplies,,30 ,,,,,,,,,25 ,25 , Medical Supplies,,,,,,,,,,,25 ,25 , Medical Supplies,,,,,,,,,,,,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 , Outpatient Services (including E/R Dept.),,31 ,,,,,,,,,26 ,26 , Outpatient Services (including E/R Dept.),,,,,,,,,,,26 ,26 , Outpatient Services (including E/R Dept.),,,,,,,,,,,,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 , Radiation Therapy,,32 ,,,,,,,,,27 ,27 , Radiation Therapy,,,,,,,,,,,27 ,27 , Radiation Therapy,,,,,,,,,,,,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 , Chemotherapy,,33 ,,,,,,,,,28 ,28 , Chemotherapy,,,,,,,,,,,28 ,28 , Chemotherapy,,,,,,,,,,,,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 , Other,,34 ,,,,,,,,,29 ,29 , Other,,,,,,,,,,,29 ,29 , Other,,,,,,,,,,,,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 , Bereavement Program Costs,,35 ,,,,,,,,,30 ,30 , Bereavement Program Costs,,,,,,,,,,,30 ,30 , Bereavement Program Costs,,,,,,,,,,,,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31 , Volunteer Program Costs,,36 ,,,,,,,,,31 ,31 , Volunteer Program Costs,,,,,,,,,,,31 ,31 , Volunteer Program Costs,,,,,,,,,,,,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 , Fundraising,,37 ,,,,,,,,,32 ,32 , Fundraising,,,,,,,,,,,32 ,32 , Fundraising,,,,,,,,,,,,32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 , Other Program Costs,,38 ,,,,,,,,,33 ,33 , Other Program Costs,,,,,,,,,,,33 ,33 , Other Program Costs,,,,,,,,,,,,33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 , Totals (sum of lines 1-33) (2),,,,,,,,,,,34 ,34 , Totals (sum of lines 1-33) (2),,,,,,,,,,,34 ,34 , Totals (sum of lines 1-33) (2),,,,,,,,,,,,34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 , Unit Cost Multiplier (see instructions),,,,,,,,,,,35 ,35 , Unit Cost Multiplier (see instructions),,,,,,,,,,,35 ,35 , Unit Cost Multiplier (see instructions),,,,,,,,,,,,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Column 0, line 34 must agree with Wkst. A, column 7, line 116.",,,,,,,,,,,,,"(1) Column 0, line 34 must agree with Wkst. A, column 7, line 116.",,,,,,,,,,,,,"(1) Column 0, line 34 must agree with Wkst. A, column 7, line 116.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) Columns 0 through 25, line 34 must agree with the corresponding columns of Wkst. B, Part I, line 116.",,,,,,,,,,,,,"(2) Columns 0 through 25, line 34 must agree with the corresponding columns of Wkst. B, Part I, line 116.",,,,,,,,,,,,,"(2) Columns 0 through 25, line 34 must agree with the corresponding columns of Wkst. B, Part I, line 116.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4062.1)",,,,,,,,,,,,,"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4062.1)",,,,,,,,,,,,,"FORM CMS-2552-10 (08/2011) (INSTRUCTIONS FOR THIS WORKSHEET ARE PUBLISHED IN CMS PUB. 15-II, SECTION 4062.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-638,,,,,,,,,,,,Rev. 2,Rev. 2,,,,,,,,,,,,40-639,40-640,,,,,,,,,,,,,Rev. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
