,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,
,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 ± col. 4),ADJUSTMENTS,(col. 5 ± col. 6),
,,1,2,3,4,5,6,7,
,   ANCILLARY SERVICE COST CENTERS, , , , , , , ,
50, Operating Room,,,,,,,,50
51, Recovery Room,,,,,,,,51
52, Labor Room and Delivery Room,,,,,,,,52
53, Anesthesiology,,,,,,,,53
54, Radiology-Diagnostic,,,,,,,,54
55, Radiology-Therapeutic,,,,,,,,55
56, Radioisotope,,,,,,,,56
57, Computed Tomography (CT) Scan,,,,,,,,57
58, Magnetic Resonance Imaging (MRI),,,,,,,,58
59, Cardiac Catheterization,,,,,,,,59
60, Laboratory,,,,,,,,60
61, PBP Clinical Laboratory Services-Program Only, , , , , , , ,61
62, Whole Blood & Packed Red Blood Cells,,,,,,,,62
63," Blood Storing, Processing, & Trans.",,,,,,,,63
64, Intravenous Therapy,,,,,,,,64
65, Respiratory Therapy,,,,,,,,65
66, Physical Therapy,,,,,,,,66
67, Occupational Therapy,,,,,,,,67
68, Speech Pathology,,,,,,,,68
69, Electrocardiology,,,,,,,,69
70, Electroencephalography,,,,,,,,70
71, Medical Supplies Charged to Patients,,,,,,,,71
72, Implantable Devices Charged to Patients,,,,,,,,72
73, Drugs Charged to Patients,,,,,,,,73
74, Renal Dialysis,,,,,,,,74
75, ASC (Non-Distinct Part),,,,,,,,75
, Other Ancillary (specify),,,,,,,,76
,   OUTPATIENT SERVICE COST CENTERS, , , , , , , ,
88, Rural Health Clinic (RHC),,,,,,,,88
89, Federally Qualified Health Center (FQHC),,,,,,,,89
90, Clinic,,,,,,,,90
91, Emergency,,,,,,,,91
92, Observation Beds, , , , , , , ,92
, Other Outpatient Service (specify),,,,,,,,93
,,,,,,RECLASSIFIED,,NET EXPENSES,
,COST CENTER DESCRIPTIONS,,,TOTAL,RECLASSIFI-,TRIAL BALANCE,,FOR ALLOCATION,
,(omit cents),SALARIES,OTHER,(col. 1 + col. 2),CATIONS,(col. 3 ± col. 4),ADJUSTMENTS,(col. 5 ± col. 6),
,,1,2,3,4,5,6,7,
,   OTHER REIMBURSABLE COST CENTERS, , , , , , , ,
94, Home Program Dialysis,,,,,,,,94
95, Ambulance Services,,,,,,,,95
96, Durable Medical Equipment-Rented,,,,,,,,96
97, Durable Medical Equipment-Sold,,,,,,,,97
, Other Reimbursable (specify),,,,,,,,98
, Outpatient Rehabilitation Provider (specify),,,,,,,,99
100, Intern-Resident Service (not appvd. tchng. prgm.),,,,,,,,100
101, Home Health Agency,,,,,,,,101
,   SPECIAL PURPOSE COST CENTERS, , , , , , , ,
105, Kidney Acquisition,,,,,,,,105
106, Heart Acquisition,,,,,,,,106
107, Liver Acquisition,,,,,,,,107
108, Lung Acquisition,,,,,,,,108
109, Pancreas Acquisition,,,,,,,,109
110, Intestinal Acquisition,,,,,,,,110
111, Islet Acquisition,,,,,,,,111
, Other Organ Acquisition (specify),,,,,,,,112
113, Interest Expense, ,,,,,,- 0 -,113
114, Utilization Review-SNF,,,,,,,- 0 -,114
115, Ambulatory Surgical Center (Distinct Part),,,,,,,,115
116, Hospice,,,,,,,,116
, Other Special Purpose (specify),,,,,,,,117
 , SUBTOTALS (sum of lines 1-117),,,,,,,,118
,   NONREIMBURSABLE COST CENTERS, , , , , , , ,
190," Gift, Flower, Coffee Shop, & Canteen",,,,,,,,190
191, Research,,,,,,,,191
192, Physicians' Private Offices,,,,,,,,192
193, Nonpaid Workers,,,,,,,,193
, Other Nonreimbursable (specify),,,,,,,,194
 , TOTAL (sum of lines 118-199), , , ,- 0 -, , , ,200
